assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,pts_bps,WHH,WHD,WHA
1,0,25,0,52.8,494,0.98,1.0,0.02,0.9,10,1,0,9.9,31.6,2024-08-19,78,11,0,0,0,0,1,0,373759,1,1,1,15.0,5,0,0,0,75,False,0,0,1,0.0666602998971939,80,Leicester,Tottenham,1,1,26611,2024,667462,0.1993398219347,1,3,0,0.0666602998971939,0.4536989331245422,0.3870386183261871,4,2,1,3.1,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.2,0.23,0.61
1,0,25,1,41.8,494,0.38,0.79,0.41,1.0,19,0,0,11.1,38.6,2024-08-24,78,8,0,0,0,0,2,0,495594,1,0,4,31.0,6,36050,69307,33257,75,True,0,0,3,0.5963133573532104,82,Tottenham,Everton,4,0,26617,2024,667982,0.8394820690155029,1,2,0,0.5963133573532104,0.8033932447433472,0.0567831993103027,2,4,2,5.5,MID,0.0,0.33,0.33,0.01,0.3,0.33,0.0,3.3,10.53,17.6,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,1.67,0.0,0.33,0.02,0.07,0.33,1.0,0.0,0.02,0.15,0.13,1.03,124586.33,6.0,0.69,0.21,0.14
0,0,13,0,32.3,494,0.07,0.14,0.07,1.57,28,2,0,7.5,16.2,2024-09-01,81,15,0,0,0,0,3,0,509642,1,1,2,26.0,1,-3831,77815,81646,75,False,1,0,2,0.0634822994470596,87,Newcastle United,Tottenham,2,1,26629,2024,672477,0.1304524093866348,0,2,0,0.0634822994470596,0.1822864562273025,0.0191934090107679,4,4,3,3.5,MID,0.33,0.45,0.6,0.14,0.63,0.33,0.0,7.0,23.4,31.53,15.33,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,1.67,3.67,0.0,1.33,0.22,0.35,0.67,1.67,0.0,0.22,0.42,0.15,2.87,289784.33,1.0,0.4,0.25,0.4
0,0,20,0,46.6,494,0.35,0.35,0.0,0.73,39,1,0,7.2,19.0,2024-09-15,79,1,0,0,0,0,4,0,431089,1,1,0,6.0,2,-89898,23683,113581,75,True,0,0,0,0.0,83,Tottenham,Arsenal,0,1,26640,2024,674311,0.1422683596611023,0,2,0,0.0,0.2762362658977508,0.1506803333759308,5,4,4,2.5,MID,0.33,0.48,0.64,0.17,1.16,1.0,0.0,9.5,28.8,42.3,24.0,79.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,2.33,4.0,0.0,2.0,0.24,0.39,0.67,2.33,0.0,0.24,0.48,0.15,4.03,459665.0,2.0,0.33,0.28,0.43
1,3,48,0,46.3,494,1.08,2.0,0.92,0.8,49,1,1,16.2,59.6,2024-09-21,87,4,0,0,0,0,5,0,430205,1,1,3,56.0,12,-11791,28364,40155,75,True,1,1,3,0.6219930052757263,90,Tottenham,Brentford,3,1,26648,2024,675783,0.9643046259880066,0,3,1,0.6219930052757263,2.254400968551636,0.8021472096443176,2,4,5,5.2,MID,0.33,0.27,0.43,0.16,1.1,1.0,0.0,8.6,24.6,40.23,21.0,79.33,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,2.0,3.0,0.0,1.67,0.22,0.37,0.33,2.0,0.0,0.22,0.42,0.08,3.83,478775.0,9.0,0.64,0.22,0.18
0,0,14,1,24.2,494,0.08,0.53,0.45,0.77,57,0,0,6.8,9.0,2024-09-29,76,14,0,0,0,0,6,0,487127,1,3,0,35.0,3,46611,93287,46676,75,False,0,0,3,0.5456058382987976,82,Manchester United,Tottenham,0,3,26660,2024,678665,0.0701370537281036,0,1,0,0.5456058382987976,1.2702676057815552,1.0208399295806885,4,3,6,4.5,MID,0.0,0.5,0.83,0.33,1.03,1.33,0.33,10.3,31.6,41.73,29.33,82.33,0.0,0.0,0.0,0.0,0.67,0.0,1.0,1.0,1.67,5.0,0.33,1.67,0.23,0.41,0.0,2.33,0.33,0.23,0.9,0.32,3.73,456978.67,3.0,0.43,0.25,0.36
0,3,33,0,3.0,494,0.03,0.26,0.23,1.82,64,3,1,6.7,34.0,2024-10-06,84,5,0,0,0,0,7,0,509737,1,2,3,30.0,10,14213,62696,48483,75,False,0,1,3,0.2056649774312973,87,Brighton,Tottenham,3,2,26671,2024,680441,0.0,0,0,1,0.2056649774312973,0.7275193333625793,0.5218543410301208,4,3,7,6.8,MID,0.33,0.5,0.96,0.46,0.77,0.67,0.33,10.07,29.2,39.03,32.33,80.67,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.67,1.0,5.67,0.33,2.0,0.39,0.39,0.0,2.0,0.33,0.39,1.27,0.66,4.07,449473.67,7.0,0.34,0.25,0.45
1,0,24,0,64.8,494,0.6,0.6,0.0,0.25,79,1,0,10.7,32.2,2024-10-19,45,19,0,0,0,0,8,0,681199,1,1,4,10.0,4,148758,178113,29355,75,True,0,0,0,0.0,47,Tottenham,West Ham,4,1,26672,2024,680947,0.3257004022598266,1,5,0,0.0,0.6026093363761902,0.3752953112125397,2,4,8,6.2,MID,0.33,0.4,0.93,0.53,1.13,1.33,0.67,9.9,34.2,24.5,40.33,82.33,0.0,0.0,0.0,0.0,0.33,0.0,1.0,2.0,2.0,8.33,0.67,3.0,0.46,0.34,0.0,1.33,0.67,0.46,1.42,0.78,5.5,475689.67,4.0,0.65,0.21,0.18
0,0,11,0,18.9,494,0.06,0.2,0.14,0.75,86,1,0,7.9,16.0,2024-10-27,61,7,0,0,0,0,9,0,776262,1,0,1,44.0,2,92625,141411,48786,76,False,0,0,2,0.302493005990982,68,Crystal Palace,Tottenham,1,0,26689,2024,683499,0.0154571663588285,0,1,0,0.302493005990982,0.6558861136436462,0.3533931374549866,4,2,9,5.3,MID,0.33,0.24,0.46,0.23,0.95,1.33,0.33,8.07,25.07,30.67,25.0,68.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.33,5.67,0.33,2.0,0.25,0.13,0.33,2.0,0.33,0.25,0.87,0.64,5.83,559354.33,2.0,0.25,0.25,0.55
0,0,21,0,1.9,494,0.02,0.14,0.12,0.02,99,0,1,4.1,32.4,2024-11-03,8,2,0,0,0,0,10,0,718936,0,1,4,7.0,6,-55391,44454,99845,76,True,0,1,1,0.1056327298283577,7,Tottenham,Aston Villa,4,1,26700,2024,685527,0.0,0,0,1,0.1056327298283577,0.0,0.0,3,4,10,4.5,MID,0.0,0.23,0.35,0.12,0.94,1.67,0.33,8.43,27.4,28.9,28.0,63.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.67,5.33,0.33,1.67,0.17,0.11,0.33,2.0,0.33,0.17,0.66,0.42,6.1,655732.67,6.0,0.52,0.25,0.27
0,0,3,0,0.1,494,0.0,0.0,0.0,0.02,108,0,0,0.7,6.6,2024-11-10,6,10,0,0,0,0,11,0,780598,0,2,1,0.0,1,48386,101908,53522,76,True,0,0,0,0.0,2,Tottenham,Ipswich,1,2,26709,2024,687295,0.0,0,0,0,0.0,0.0,0.0,2,4,11,,,0.0,0.23,0.31,0.09,0.34,0.67,0.33,7.57,26.87,28.53,20.33,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,3.0,4.0,0.33,1.0,0.14,0.11,0.33,2.0,0.33,0.14,0.42,0.24,5.33,725465.67,1.0,0.8,0.15,0.09
