assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,pts_bps,WHH,WHD,WHA
0,1,26,1,4.8,369,0.02,0.02,0.0,0.44,1,0,0,1.8,13.4,2024-08-16,90,9,0,0,0,0,1,0,701512,1,0,1,0.0,7,0,0,0,50,True,0,0,0,0.0,90,Manchester United,Fulham,1,0,26602,2024,666173,0.0,0,0,0,0.0,0.1960424035787582,0.1960424035787582,2,3,1,2.4,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.61,0.24,0.2
0,0,19,0,18.8,369,0.05,0.07,0.02,2.09,13,2,0,4.0,20.4,2024-08-24,90,5,0,0,0,0,2,0,875857,1,1,2,1.0,1,57940,101648,43708,50,False,0,0,1,0.0218639876693487,90,Brighton,Manchester United,2,1,26612,2024,667712,0.2974199950695038,0,1,0,0.0218639876693487,0.4011584818363189,0.3792944848537445,3,3,2,4.0,DEF,0.33,0.01,0.01,0.0,0.15,0.0,0.0,0.6,4.47,1.6,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.8,233837.33,1.0,0.4,0.27,0.37
0,0,5,0,1.8,369,0.02,0.02,0.0,1.73,27,3,0,2.1,19.4,2024-09-01,90,12,0,0,0,0,3,0,799582,1,3,0,0.0,1,-88288,43457,131745,50,True,0,0,0,0.0,90,Manchester United,Liverpool,0,3,26631,2024,672616,0.0,0,0,0,0.0,0.5665440559387207,0.5665440559387207,5,3,3,2.5,DEF,0.33,0.02,0.03,0.01,0.84,0.67,0.0,1.93,11.27,7.87,0.33,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,1.0,2.67,0.0,0.33,0.01,0.1,0.0,0.33,0.0,0.01,0.2,0.19,2.13,525789.67,1.0,0.26,0.24,0.54
1,2,40,1,24.8,369,0.48,0.48,0.0,1.12,38,0,0,5.7,24.2,2024-09-14,90,17,0,0,0,0,4,0,787714,1,3,0,8.0,11,-38054,63003,101057,50,False,0,0,0,0.0,90,Southampton,Manchester United,0,3,26632,2024,673376,0.6501983404159546,1,2,0,0.0,1.444056749343872,0.8939288258552551,3,2,4,4.8,DEF,0.33,0.03,0.04,0.01,1.42,1.67,0.0,2.63,17.73,8.47,0.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,1.0,3.0,0.0,0.33,0.01,0.1,0.0,0.33,0.0,0.01,0.39,0.38,2.97,792317.0,9.0,0.21,0.26,0.57
0,3,35,1,35.8,369,0.23,0.23,0.0,1.01,43,0,0,6.0,22.6,2024-09-21,90,7,0,0,0,0,5,0,878999,1,0,0,2.0,9,72324,104530,32206,50,False,0,0,0,0.0,90,Crystal Palace,Manchester United,0,0,26649,2024,675946,0.405103862285614,0,3,0,0.0,0.7127940058708191,0.3703912198543548,3,2,5,7.0,DEF,0.33,0.18,0.19,0.01,1.65,1.67,0.0,3.93,21.33,15.13,3.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.33,0.67,4.33,0.0,0.33,0.01,0.32,0.33,1.0,0.0,0.01,0.8,0.61,3.77,821051.0,6.0,0.35,0.28,0.42
0,0,-1,0,2.8,369,0.02,0.02,0.0,4.59,57,3,0,1.9,16.6,2024-09-29,90,18,0,0,0,0,6,0,1021255,1,3,0,0.0,0,126895,190554,63659,50,True,1,0,0,0.0,90,Manchester United,Tottenham,0,3,26660,2024,678646,0.0,0,0,0,0.0,0.0529291778802871,0.0529291778802871,4,3,6,5.2,DEF,0.67,0.24,0.24,0.0,1.29,1.0,0.0,4.6,22.07,20.8,3.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,0.35,0.33,1.67,0.0,0.0,0.91,0.61,4.77,822098.33,0.0,0.43,0.25,0.36
0,0,25,1,13.3,369,0.01,0.01,0.0,0.42,62,0,0,3.4,19.0,2024-10-06,90,2,0,0,0,0,7,0,970347,1,0,0,2.0,6,-53028,50834,103862,51,False,0,0,0,0.0,90,Aston Villa,Manchester United,0,0,26670,2024,680091,0.0229506865143775,0,1,0,0.0,0.0229506865143775,0.0229506865143775,3,4,7,6.5,DEF,0.67,0.24,0.24,0.0,2.24,1.0,0.0,4.53,21.13,21.13,3.33,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,2.0,0.0,6.67,0.0,0.0,0.0,0.35,0.33,1.67,0.0,0.0,0.74,0.44,5.67,895989.33,6.0,0.45,0.27,0.32
0,0,6,0,3.6,369,0.01,0.18,0.17,0.86,75,1,0,2.9,8.6,2024-10-19,90,4,0,0,0,0,8,0,1073646,1,1,2,17.0,1,82350,121100,38750,51,True,1,0,1,0.3146860003471374,90,Manchester United,Brentford,2,1,26675,2024,681289,0.0,0,0,0,0.3146860003471374,0.9355589747428894,0.620872974395752,2,3,8,2.3,DEF,0.67,0.09,0.09,0.0,2.01,1.0,0.0,3.77,19.4,17.3,1.33,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.14,0.0,1.33,0.0,0.0,0.26,0.15,6.23,956867.0,1.0,0.59,0.24,0.22
0,0,2,0,31.0,369,0.15,0.53,0.38,2.98,90,2,0,6.1,17.8,2024-10-27,90,19,0,0,0,0,9,0,1094619,1,1,2,12.0,1,20193,67728,47535,51,False,0,0,1,0.3090667128562927,90,West Ham,Manchester United,2,1,26690,2024,683465,0.0640786066651344,0,2,0,0.3090667128562927,0.3756108283996582,0.3626099824905395,3,2,9,2.0,DEF,0.33,0.01,0.07,0.06,1.96,1.33,0.0,2.73,14.73,6.57,6.33,90.0,0.0,0.0,0.0,0.0,0.67,0.0,1.0,1.33,0.67,2.33,0.0,0.33,0.1,0.01,0.0,0.33,0.0,0.1,0.34,0.23,4.67,1021749.33,1.0,0.35,0.27,0.43
0,0,4,0,0.9,369,0.01,0.01,0.0,1.11,95,1,0,2.0,19.0,2024-11-03,90,6,0,0,0,0,10,0,1082947,1,1,1,0.0,1,-13637,60576,74213,51,True,1,0,0,0.0,90,Manchester United,Chelsea,1,1,26697,2024,685856,0.0,0,0,0,0.0,0.0,0.0,4,3,10,0.5,DEF,0.33,0.06,0.24,0.18,1.42,1.0,0.0,4.13,15.13,15.97,10.33,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,1.33,2.67,0.0,0.67,0.21,0.03,0.0,1.0,0.0,0.21,0.44,0.34,3.6,1046204.0,1.0,0.38,0.26,0.4
